model,precision,recall,f1_score,roc_auc,auc_pr,threshold,TP,TN,FP,FN
lstm_ae_small,0.5839435673496809,0.9679287305122495,0.7284307563377331,0.5961476160743111,0.6250960275474196,0.6937977105379105,8692,602,6193,288
lstm_ae_deep,0.581951871657754,0.9694877505567929,0.7273182957393484,0.5948848393371912,0.624962694210082,0.5414999425411224,8706,541,6254,274
isolation_forest,0.5807099799062291,0.965478841870824,0.7252195734002509,0.5954198111738783,0.6437016148798309,-0.11185502620884863,8670,535,6260,310
