method,Top-1 Accuracy,Precision@1,Top-3 Accuracy,Precision@3,Top-5 Accuracy,Precision@5,Top-10 Accuracy,Precision@10,MRR
TF-IDF + Cosine Similarity,0.5426356589147286,0.5426356589147286,0.6651162790697674,0.5367786391042204,0.7012919896640827,0.5321963824289405,0.7540051679586564,0.5283720930232558,0.6186998761161443
BM25,0.5023255813953489,0.5023255813953489,0.6387596899224807,0.505770887166236,0.6914728682170542,0.5026356589147286,0.7441860465116279,0.4913695090439276,0.5919626385390311
Pretrained Sentence-BERT,0.5875968992248062,0.5875968992248062,0.7255813953488373,0.576916451335056,0.7669250645994832,0.570749354005168,0.8051679586563307,0.5513178294573643,0.6685085233558903
